@relation wine-weka.filters.unsupervised.attribute.Standardize

@attribute class {1,2,3}
@attribute Alcohol numeric
@attribute Malic_acid numeric
@attribute Ash numeric
@attribute Alcalinity_of_ash numeric
@attribute Magnesium numeric
@attribute Total_phenols numeric
@attribute Flavanoids numeric
@attribute Nonflavanoid_phenols numeric
@attribute Proanthocyanins numeric
@attribute Color_intensity numeric
@attribute Hue numeric
@attribute OD280/OD315_of_diluted_wines numeric
@attribute Proline numeric

@data
1,0.590498,-0.471154,0.158499,0.300954,0.018094,0.646939,0.951817,-0.818411,0.470162,0.018078,0.361158,1.20891,0.549707
1,0.34414,-0.623328,1.725874,-1.196247,0.718252,0.487157,0.651474,-0.175599,-0.403416,-0.197599,0.579908,0.237066,0.422685
1,0.060828,-0.614377,0.668807,-0.447646,-0.121938,0.247483,0.401188,-0.577356,-0.263644,-0.348572,0.711158,-0.143221,1.137181
1,0.085464,-0.748647,-0.97147,-1.196247,-0.121938,0.167592,0.611428,-0.657708,-0.385945,-0.585816,0.973658,0.110304,0.86726
1,1.502023,1.480247,0.523004,-1.88496,1.978537,1.126287,1.011885,-1.300519,0.854536,0.018078,-0.295091,1.293418,0.041621
1,0.689041,-0.560668,-0.206007,-0.986639,1.208363,1.36596,1.262171,-0.175599,1.308796,0.462372,-0.032591,1.082148,0.152765
1,0.504273,1.345976,-0.898568,-0.208094,-0.682064,0.247483,0.651474,-0.738059,-0.193758,-0.335632,-0.207591,0.546929,0.914893
1,1.083214,-0.399543,0.814609,-1.345967,0.08811,1.525743,1.532479,-1.541573,0.190617,0.160425,-0.338841,1.335672,1.105425
1,0.294868,1.471295,-0.278908,-0.597367,0.228141,0.55107,0.601417,-0.336302,0.12073,-0.301123,-0.601341,0.546929,-0.212422
1,0.060828,-0.50696,-0.97147,-0.747087,0.508205,1.126287,0.97184,-0.657708,0.767178,-0.007803,-0.338841,1.039894,0.438563
1,1.489705,1.525003,0.26785,-0.17815,0.788268,0.886613,0.62144,-0.497005,-0.595603,0.078468,-0.382591,1.011724,1.057792
1,1.699109,1.122191,-0.315359,-1.046527,0.158126,1.525743,1.142034,-0.738059,1.046723,-0.068193,0.361158,1.166656,1.010159
1,1.10785,-0.587522,-0.898568,-1.046527,0.08811,1.286069,1.362285,-1.220168,0.959365,0.449431,-0.207591,1.011724,0.756117
1,1.354208,-0.283175,0.122048,-0.208094,0.228141,0.726831,0.891748,-0.336302,1.378682,0.492567,0.492408,0.194812,0.994282
1,1.157122,-0.542765,-0.35181,-0.627311,0.578221,0.934548,1.512457,-0.336302,0.854536,1.65722,0.711158,0.687776,1.629389
1,0.060828,-0.542765,-1.190173,-2.124512,-0.542033,0.678896,1.242148,-1.541573,2.304675,0.92392,0.711158,0.420167,1.28008
1,1.021625,-0.614377,0.85106,-0.687199,-0.402001,0.247483,0.961828,-1.139816,1.221438,0.233755,1.236158,1.068063,1.645267
1,1.009307,-0.524863,0.194949,-1.645408,0.788268,2.532372,1.712685,-0.336302,0.487633,0.859217,0.229909,0.913131,1.407101
1,0.947717,-0.390592,1.142664,-0.717143,1.068331,1.126287,0.7616,0.226158,0.155674,0.535702,0.754908,0.448336,1.994576
1,0.910764,-0.596474,-0.424711,-0.926751,1.278379,0.487157,0.871725,-1.220168,0.050844,0.341593,-0.163841,0.828623,0.994282
1,0.689041,-0.542765,0.340752,0.300954,1.138347,1.062374,0.751588,-1.300519,1.500983,0.514134,0.098659,0.589183,1.184814
1,1.502023,-0.56962,-0.242458,-0.956695,1.278379,1.445851,0.97184,-0.818411,0.767178,0.57021,-0.076341,0.983555,0.708483
1,0.356458,-0.327932,1.142664,-0.806975,0.158126,1.126287,1.202102,-0.416654,0.12073,0.406296,0.492408,0.321574,1.661144
1,0.886128,-0.811307,0.486554,-0.836919,0.578221,1.765416,1.642605,-1.38087,0.78465,0.751378,-0.295091,0.363828,1.708777
2,-0.776789,-1.249925,-3.668813,-2.663505,-0.822096,-0.503494,-1.460937,-0.657708,-2.045743,-1.340684,0.404908,-1.115065,-0.720508
2,-0.826061,-1.106702,-0.315359,-1.046527,0.08811,-0.391646,-0.940343,2.154591,-2.063214,-0.771298,1.279908,-1.326335,-0.212422
2,-0.444206,-0.873967,-1.263074,-0.806975,0.018094,-0.439581,-0.619977,1.351077,-1.696311,0.298458,0.098659,-1.439013,-0.942795
2,0.824538,-0.972432,-1.62758,-0.447646,-0.402001,-0.311755,-0.239543,-0.336302,-1.504124,-0.542681,1.192408,-0.213644,-0.371199
2,-0.776789,-1.079848,-0.752766,-0.148206,-0.892112,1.925199,1.071954,-1.38087,0.487633,-0.262302,1.148658,0.363828,-1.038061
2,-1.023147,-0.793404,0.595906,-0.148206,0.298157,-0.647298,-0.279589,0.708266,-0.979978,-0.909331,2.154907,-0.537592,-1.244471
2,-0.776789,-1.008237,0.705257,-0.417702,-0.121938,0.199549,0.62144,0.065455,0.854536,-0.197599,1.017408,-0.438999,-0.218773
2,0.134736,-1.187265,-2.429493,-1.345967,-1.522254,1.09433,1.152045,-0.818411,1.203967,0.104349,0.711158,0.800454,-0.777667
2,-0.776789,-1.044043,-1.62758,0.031458,-1.522254,-0.295777,-0.029303,-0.738059,-0.962506,-0.16309,0.711158,1.222995,-0.752263
2,0.418047,-1.249925,-0.023754,-0.747087,0.718252,0.375309,-0.730103,1.51178,-2.045743,-0.814434,0.273659,-0.960133,0.009866
2,-0.973876,-1.02614,-2.24724,-0.806975,3.588902,-0.711211,-0.750126,-1.782627,1.588341,-0.952467,1.411158,0.645522,-0.091752
2,-0.875332,-0.650182,-0.570513,0.27101,0.228141,-1.90958,-1.010423,0.065455,-0.228701,-0.866196,-0.225091,-1.115065,0.39093
2,1.058578,-0.739696,1.106214,1.648436,-0.962128,1.046395,0.83168,-1.220168,0.487633,-0.723849,1.761158,0.772285,-1.069817
2,0.602816,-0.605425,-0.461161,1.348995,-0.892112,-0.663277,-0.189486,-0.738059,-0.979978,-0.568562,0.098659,0.237066,-0.872933
2,-0.013079,-0.596474,0.85106,3.145637,2.748712,1.605634,0.861714,-1.220168,0.644877,-0.73679,1.542408,1.251164,0.756117
2,-1.281823,-1.115654,-0.242458,0.450674,0.08811,1.73346,0.110857,-1.862979,0.103259,-0.797179,0.142409,0.73003,0.441738
2,-1.65136,-0.408495,-1.62758,-1.046527,-0.191954,-1.094689,-0.459794,-0.175599,-0.770319,-0.542681,1.192408,-0.664355,-1.012657
2,0.036192,-1.28573,-2.393042,-1.046527,-0.962128,-0.551429,0.000731,-0.979113,-0.228701,-0.197599,1.017408,-0.185475,-1.126976
2,-1.429638,0.495595,-0.497612,-0.447646,0.858284,-0.918928,-0.71008,0.547563,-1.11975,-1.038737,0.011159,-0.129136,-0.784018
2,-0.826061,-1.205168,-1.518228,-1.405855,2.538664,-0.63132,-0.179474,-0.095248,2.042602,-0.715222,0.448658,-0.424915,0.009866
2,-0.370298,1.37283,0.122048,1.049555,0.08811,0.854656,0.521325,0.547563,0.627406,-1.073246,1.017408,0.73003,-0.901513
2,-1.232551,-1.267827,-1.335975,-0.148206,-0.962128,0.199549,0.230994,-0.497005,-0.281115,-1.10344,1.848658,0.715946,-1.488987
2,-0.345662,-0.471154,-0.606964,-0.208094,-0.962128,-0.151973,0.501302,-0.818411,0.312918,-0.499546,0.886158,0.744115,-0.104454
2,-1.134008,-1.079848,0.523004,1.348995,-1.522254,-0.471538,-0.449783,0.306509,-0.33353,-1.232846,1.542408,0.152558,-0.371199
2,0.060828,1.363879,-0.169557,0.899835,-1.032144,-1.030776,-0.439772,1.993888,0.050844,-0.111328,-0.513841,-0.847456,-0.736385
2,-1.429638,-1.294681,0.778159,-0.447646,-0.402001,-0.151973,0.180937,-1.139816,1.326268,-0.866196,-0.732591,0.659607,-0.720508
2,-0.407252,-1.214119,-0.461161,-0.447646,-0.051922,-0.151973,-0.089372,-0.497005,-0.228701,-1.051678,1.192408,0.772285,-0.942795
2,-1.035465,-0.650182,-0.206007,0.989667,-0.682064,-0.823059,-0.339657,0.547563,-0.053985,-1.125008,1.629908,-0.495338,-0.799896
2,-1.663678,-0.596474,0.923961,1.947876,-0.822096,-0.599364,-0.419749,0.306509,-0.438359,-1.060305,1.761158,0.842708,-0.587135
2,-1.675996,-0.24737,0.340752,0.630339,-1.102159,-0.551429,-0.339657,0.94932,-0.420888,-0.974034,0.186159,0.194812,-0.212422
2,-1.134008,-0.900821,-0.242458,1.229219,-2.082381,-0.151973,-0.439772,0.467212,-0.368473,-1.431269,0.492408,0.842708,-0.387076
2,-1.134008,-0.453252,-0.169557,-0.297926,-1.312207,-1.110667,-0.529874,1.270726,0.085787,-1.146576,0.536158,-0.481254,-0.847529
2,-1.232551,-0.739696,0.194949,0.750115,-0.962128,-1.350341,-0.78016,1.110023,0.068316,-0.628952,0.404908,0.053965,-0.942795
2,-0.382616,-0.721793,-0.38826,0.360842,-1.382223,-1.462189,-0.56992,1.752834,0.050844,-0.866196,0.011159,-0.777032,-0.799896
2,-0.875332,0.441886,-0.534063,-0.447646,-0.822096,0.247483,0.220983,-0.898762,0.697292,-1.254414,0.842408,0.96947,-1.450881
2,-1.700632,-0.31003,-0.315359,-0.447646,-0.121938,1.158243,0.230994,-1.541573,-0.420888,-0.779925,0.886158,0.490591,-1.276226
2,-0.65361,-0.730744,-0.606964,-0.148206,4.359076,0.327374,0.241005,-0.336302,2.951123,-1.060305,0.886158,0.025796,0.603691
2,-1.466592,-0.193662,1.361368,0.600395,2.398632,-1.110667,-1.040457,-1.782627,-0.053985,-1.10344,-0.032591,-0.495338,-0.387076
2,-0.875332,-0.82921,-1.408877,-1.046527,-1.032144,0.407266,0.471268,-0.577356,0.312918,-0.930899,1.192408,0.180727,-1.012657
2,-0.776789,-1.133557,-0.97147,-0.297926,-0.822096,1.957155,1.722696,-0.979113,0.627406,-0.240734,0.361158,0.222981,-0.275933
2,-0.875332,0.746233,-0.570513,-0.447646,-0.822096,0.886613,0.961828,0.708266,2.129959,-1.189711,2.023657,0.30749,-1.082519
2,-1.134008,-0.229467,-2.429493,-0.597367,-0.191954,-0.104038,0.140891,-0.818411,-0.33353,-0.758358,1.367408,0.490591,-0.117156
2,-0.493477,-0.891869,-1.700481,-0.297926,-0.822096,-1.350341,-0.670034,-0.577356,-0.420888,-1.125008,0.361158,0.222981,-0.587135
2,-0.813743,0.101734,0.340752,0.450674,-0.121938,0.423244,0.080823,-0.175599,-0.490774,-0.974034,-0.688841,1.082148,-0.980902
2,-1.454274,-0.551717,-1.773382,0.001514,-0.962128,0.327374,-0.389714,0.065455,-0.298587,-1.293236,-0.076341,-0.241814,-1.053939
2,-0.604338,-0.542765,-1.408877,0.300954,-1.032144,-0.151973,-0.109395,-0.336302,-0.193758,-0.913645,0.361158,1.349757,-0.237826
2,-0.7152,0.191248,-0.35181,0.750115,-0.682064,-0.982841,-0.189486,2.395645,-0.298587,-1.01717,-0.426341,0.96947,-1.371493
2,-0.924604,-0.542765,-0.898568,-0.148206,-1.382223,-1.030776,0.000731,0.065455,0.068316,-0.715222,0.186159,0.786369,-0.752263
2,-0.345662,-0.524863,-0.315359,0.899835,-1.102159,-1.462189,-0.269577,0.94932,0.068316,-0.758358,-0.338841,-0.269983,-0.822125
2,-0.961558,-0.936626,-1.554679,-0.148206,-0.542033,0.103679,0.010743,0.226158,0.854536,-1.01717,-0.426341,0.575099,-1.381019
2,-1.71295,-0.882918,1.215566,0.151234,-0.402001,0.710852,0.891748,-0.577356,1.57087,-1.038737,0.011159,0.913131,-0.212422
2,-1.897718,1.256462,-1.992086,0.001514,0.508205,1.413895,0.55136,-0.979113,3.475269,-0.930899,-0.907591,0.27932,-0.587135
2,-0.592021,0.083831,-0.716315,0.450674,-0.822096,0.407266,0.241005,-0.818411,-0.648018,-1.319117,-0.251341,0.237066,-1.339737
2,-1.528181,0.307616,2.017479,0.151234,0.228141,-0.870994,0.000731,1.913537,-0.945035,-0.542681,1.192408,-0.157305,-0.444236
2,-1.959308,-1.428952,0.486554,0.450674,-0.822096,0.295418,-0.019292,0.467212,-0.263644,-0.853255,0.623658,-0.424915,-0.993604
2,-1.134008,-0.847112,0.486554,0.899835,-1.102159,0.423244,0.261028,0.547563,-0.962506,-0.930899,-0.120091,0.814539,-1.149205
2,-2.427388,-0.739696,-0.606964,0.600395,-1.032144,0.263461,0.140891,1.270726,0.732235,-1.362252,3.292407,0.363828,-1.079343
2,-1.454274,-0.775501,-1.372426,0.390786,-0.962128,-0.503494,-0.42976,-0.497005,-0.1064,-1.340684,-0.032591,1.011724,-0.799896
2,-0.7152,-0.650182,-0.643414,0.899835,0.578221,-0.471538,0.0608,-0.175599,0.033373,-1.293236,0.448658,0.490591,-1.276226
2,-0.284073,0.978969,-1.408877,-1.046527,-1.382223,-1.062733,-0.78016,0.547563,-1.329409,-0.715222,-1.126341,-0.692524,-1.190487
2,-1.232551,0.978969,-1.335975,-0.148206,-0.892112,-0.471538,-0.389714,0.065455,0.487633,-1.629691,-0.120091,0.617353,-0.580784
2,-1.910036,0.056977,0.194949,0.151234,-0.261969,0.966504,0.7616,-0.336302,0.417747,-0.779925,-0.688841,1.096233,-0.387076
2,-1.774539,-0.256321,3.147447,2.696477,1.348395,1.413895,3.054216,0.868969,0.487633,0.406296,-0.120091,1.518773,-0.895162
2,-0.7152,1.874107,1.324917,2.097596,0.158126,-0.151973,0.100845,0.547563,0.208088,-1.284609,-0.163841,0.715946,-1.212716
2,0.060828,3.100446,-0.862118,0.600395,-0.962128,0.519113,0.62144,-0.497005,0.732235,-1.060305,-0.995091,0.687776,-1.165083
2,-1.392684,1.766691,0.085597,0.450674,-1.242191,0.902591,1.001874,-1.220168,2.304675,-0.974034,-0.907591,1.44835,-1.165083
2,-1.146326,-0.157856,-0.716315,0.450674,-1.032144,0.487157,0.62144,0.065455,-0.420888,-0.991288,-0.426341,0.941301,-1.171434
2,-0.702882,-0.721793,-0.278908,0.600395,-0.962128,0.710852,1.122011,0.226158,0.312918,-0.482292,-1.170091,0.321574,-1.253998
2,-1.491227,-0.18471,1.50717,2.696477,-0.542033,-0.263821,0.210971,1.752834,0.295446,-0.887764,0.054909,-0.241814,-0.891987
2,-0.776789,-0.632279,-0.242458,1.498716,-0.822096,-0.120016,0.421211,0.306509,0.540048,-1.267354,-0.295091,0.237066,-1.285753
2,-1.18328,1.757739,0.049147,0.750115,-1.382223,-0.311755,-0.279589,0.467212,-0.420888,-1.060305,-0.732591,-0.058713,-0.529976
3,-0.173212,-0.882918,-0.169557,-0.447646,1.558442,-1.254472,-0.78016,-1.220168,-1.137222,-0.413275,-0.863841,-1.861554,-0.371199
3,-0.148576,0.585109,0.122048,0.151234,0.298157,-1.590015,-0.810194,-0.979113,-1.329409,0.147484,-0.951341,-1.678453,-0.688752
3,-0.234801,-0.023585,0.122048,1.348995,-0.121938,-1.829688,-0.940343,-0.738059,-1.329409,0.27689,-1.301341,-1.762961,-0.593486
3,-0.370298,1.086386,-0.023754,0.600395,0.438189,-0.950885,-0.830217,-1.541573,-1.311937,-0.025057,-0.776341,-1.861554,-0.466465
3,-0.604338,-0.981383,-0.424711,-0.597367,-1.032144,-0.471538,-1.450926,1.913537,-0.595603,0.169052,-0.907591,-1.55169,-0.307688
3,-0.493477,0.110685,-0.606964,-0.297926,-0.402001,-1.078711,-1.370834,2.154591,-1.137222,0.880784,-0.995091,-1.453098,-0.164789
3,-0.924604,2.133697,0.632356,0.450674,-0.75208,-1.462189,-1.561051,1.351077,-1.381823,-0.521113,-0.907591,-1.889723,-0.085401
3,-0.579703,2.840856,0.996862,1.648436,-0.261969,-0.807081,-1.430903,2.154591,-0.857677,-0.025057,-0.601341,-1.298166,-0.736385
3,0.602816,1.122191,-0.643414,0.001514,-0.822096,-1.078711,-1.55104,1.752834,-1.242051,0.27689,-0.645091,-1.115065,-0.529976
3,-0.197848,0.558254,0.88751,1.348995,0.08811,0.039766,-1.430903,1.351077,-1.364352,-0.059566,-0.295091,-0.65027,-0.49822
3,-0.086987,0.423984,1.215566,0.450674,-0.261969,-1.206537,-1.531017,1.351077,-1.469181,-0.197599,-0.820091,-0.424915,-0.466465
3,0.442683,0.200199,-0.060205,0.151234,-0.75208,-1.430232,-1.531017,0.065455,-1.661368,0.233755,-1.126341,-0.19956,0.105132
3,0.63977,0.746233,1.288467,1.199275,-0.191954,-1.190559,-1.510994,1.110023,-1.818612,-0.305437,-0.295091,-0.777032,-0.720508
3,0.762949,2.339579,-0.060205,0.151234,-0.542033,-0.471538,-1.230674,0.868969,-0.997449,-0.283869,-0.207591,-0.791117,-0.625242
3,-0.924604,1.381781,-0.606964,-0.297926,0.858284,-1.462189,-1.250697,-0.577356,-0.787791,1.359586,-1.34509,-0.86154,0.343297
3,0.196325,1.104289,-0.789217,0.450674,0.158126,-1.27045,-1.48096,0.547563,-0.508246,-0.45641,-1.56384,-1.312251,0.263908
3,1.083214,2.420142,-0.497612,0.151234,-1.382223,-2.101318,-1.6912,0.306509,-1.591482,-0.068193,-1.65134,-1.805215,-1.053939
3,-0.160894,2.035232,0.413653,0.600395,-0.962128,-0.950885,-1.380846,0.868969,-1.276994,1.118029,-1.82634,-1.058726,-0.387076
3,0.393412,0.808893,0.049147,0.600395,-0.542033,-0.583385,-1.27072,0.708266,-0.595603,1.450171,-1.78259,-1.396759,-0.307688
3,0.097782,1.399684,-0.023754,0.600395,0.9283,-1.414254,-0.64,-0.175599,-0.787791,1.872897,-1.69509,-1.805215,-0.625242
3,0.615134,0.701476,0.923961,1.348995,1.628458,-1.430232,-0.459794,-1.139816,-0.595603,1.527814,-1.60759,-1.847469,-0.784018
3,-0.259437,0.298664,0.413653,0.750115,0.858284,-1.302406,-0.670034,-0.979113,-0.578132,2.476791,-2.08884,-1.608029,-0.847529
3,0.134736,-0.390592,1.397819,1.798156,1.138347,-0.151973,-0.750126,-0.818411,-0.053985,0.880784,-1.52009,-1.805215,-1.022184
3,0.282551,0.862601,-0.315359,-0.297926,-0.121938,-0.791103,-1.20064,1.993888,0.487633,2.356012,-1.73884,-1.55169,-0.2283
3,-0.518113,-0.936626,-0.97147,0.151234,0.228141,-1.302406,-1.450926,1.351077,-0.33353,1.096461,-1.65134,-1.495352,-0.339443
3,0.208643,2.554412,-0.169557,0.750115,-0.472017,-0.886972,-1.400868,1.993888,-0.071457,1.225867,-1.56384,-1.593945,-0.069523
3,1.033943,1.596615,0.049147,0.001514,-0.75208,-0.791103,-1.20064,0.94932,-0.053985,1.704669,-1.69509,-1.368589,-0.847529
3,-0.678246,0.620914,0.996862,2.247316,-0.191954,-0.63132,-1.450926,2.154591,-0.787791,1.053326,-1.257591,-1.241827,0.422685
3,1.649838,-0.587522,1.215566,1.648436,-0.121938,0.806722,-0.720092,1.351077,1.937772,3.425768,-1.69509,-0.917879,-0.275933
3,0.590498,-0.596474,0.996862,0.899835,-0.75208,0.487157,-0.930331,1.270726,1.221438,2.886577,-1.69509,-1.171404,-0.402954
3,-0.789107,1.337024,0.049147,0.450674,-0.822096,0.00781,-1.110537,1.110023,-0.962506,1.118029,-1.73884,-1.453098,-0.720508
3,0.849174,0.826796,0.632356,0.151234,0.508205,-0.743168,-1.470948,1.110023,-1.381823,0.354534,0.011159,-1.115065,-0.212422
3,-0.18553,0.835747,0.778159,0.750115,0.438189,-1.030776,-1.430903,1.913537,-1.102279,0.225128,-0.382591,-0.706609,-0.561731
3,-0.050033,0.996872,-0.060205,-0.297926,0.438189,-1.446211,-1.330789,0.306509,-1.137222,0.095722,-1.213841,-1.213658,-0.2283
3,0.960035,0.379227,-0.242458,0.750115,-0.682064,-1.510123,-1.350811,0.38686,-0.979978,1.95054,-1.126341,-1.312251,-0.418832
3,0.898446,1.811448,-0.38826,0.899835,-0.822096,-1.621971,-1.561051,1.270726,-0.770319,0.673735,-0.776341,-1.213658,-0.720508
3,0.553544,1.220657,0.85106,1.049555,0.788268,-0.950885,-1.110537,0.547563,-0.228701,2.425029,-0.470091,-1.481267,-0.164789
3,-0.222483,0.925261,-0.242458,0.001514,-0.822096,-1.302406,-1.370834,0.306509,-1.084807,2.243861,-1.038841,-1.213658,-0.196544
3,0.713677,0.218102,1.179115,1.498716,0.368173,-1.190559,-1.190629,0.226158,-0.088928,1.553695,-0.951341,-1.143234,0.009866
3,0.491955,2.026281,1.798775,1.648436,0.858284,-0.503494,-1.070491,-0.738059,-0.840205,1.484679,-1.257591,-0.974218,-0.371199
3,-0.986193,0.620914,-0.169557,-0.148206,-0.261969,-1.669906,-1.541028,0.306509,-1.504124,0.190619,-1.301341,-1.10098,-0.752263
3,-0.284073,0.048026,-0.315359,0.001514,-0.962128,-1.446211,-1.521006,0.94932,-1.661368,2.088573,-1.69509,-1.382674,-0.879284
3,1.428115,0.155442,0.413653,0.151234,-0.612049,-0.982841,-1.330789,0.627915,-0.613075,2.002303,-1.47634,-1.269997,-0.275933
3,0.87381,2.966176,0.304301,0.300954,-0.331985,-0.982841,-1.420891,1.270726,-0.927563,1.139596,-1.38884,-1.227742,-0.02189
3,0.491955,1.408636,0.413653,1.049555,0.158126,-0.791103,-1.280731,0.547563,-0.316058,0.967055,-1.126341,-1.481267,0.009866
3,0.331822,1.739837,-0.38826,0.151234,1.418411,-1.126646,-1.3408,0.547563,-0.420888,2.217979,-1.60759,-1.481267,0.279786
3,0.208643,0.227053,0.012696,0.151234,1.418411,-1.030776,-1.350811,1.351077,-0.228701,1.829761,-1.56384,-1.396759,0.295664
3,1.391162,1.578712,1.361368,1.498716,-0.261969,-0.391646,-1.27072,1.592131,-0.420888,1.786626,-1.52009,-1.424928,-0.593486
